prompt,completion
"age-group:millennials,gender:male,occasion:formal,body-size:fit","outfit:Classic formal suit, crisp dress shirt,footwear:Polished black dress shoes,accessories:Tie clip, elegant tie,response:For a formal office setting, wear a classic formal suit with a crisp dress shirt. Complete the look with polished black dress shoes, a tie clip, and an elegant tie."
"age-group:genz,gender:male,occasion:formal,body-size:fit","outfit:Modern Nehru jacket over shirt, tailored trousers,footwear:Contemporary lace-up shoes,accessories:Minimalist pocket square,response:Try a modern twist with a Nehru jacket layered over a shirt and tailored trousers. Complete the look with contemporary lace-up shoes and a minimalist pocket square."
"age-group:genz,gender:male,occasion:formal,body-size:fit","outfit:Casual blazer, dressy cotton pants,footwear:Comfortable suede loafers,accessories:Professional leather messenger bag,response:Go for a slightly casual yet professional look with a blazer and dressy cotton pants. Complete the outfit with comfortable suede loafers and a professional leather messenger bag."
"age-group:millennials,gender:male,occasion:formal,body-size:fit","outfit:Checked dress shirt, dress slacks,footwear:Classic leather loafers,accessories:Professional tie, wristwatch,response:Choose a stylish checked dress shirt with dress slacks for a versatile office look. Complete the outfit with classic leather loafers, a professional tie, and a wristwatch."
"age-group:millennials,gender:male,occasion:formal,body-size:fit","outfit:Modern ethnic blend: Collared kurta with tailored trousers,footwear:Leather juttis,accessories:Professional watch, pocket square,response:Infuse modern ethnic elements with a collared kurta paired with tailored trousers. Complete the look with leather juttis, a professional watch, and a pocket square."
"age-group:millennials,gender:female,occasion:formal,body-size:fit","outfit:Formal blouse, pencil skirt,footwear:Classic pointed-toe heels,accessories:Pearl necklace, professional handbag,response:Dress professionally with a formal blouse and a pencil skirt. Complete the look with classic pointed-toe heels, a pearl necklace, and a professional handbag."
"age-group:millennials,gender:female,occasion:formal,body-size:fit","outfit:Traditional Indian Kurti with leggings,footwear:Comfortable ethnic flats,accessories:Simple stud earrings,response:Embrace comfort and style with a traditional Indian Kurti paired with leggings. Complete the look with comfortable ethnic flats and simple stud earrings, suitable for the office."
"age-group:genz,gender:female,occasion:formal,body-size:fit","outfit:Business formal blazer, tailored trousers,footwear:Elegant low-heeled pumps,accessories:Professional watch, statement necklace,response:Opt for a business formal blazer with tailored trousers. Complete the look with elegant low-heeled pumps, a professional watch, and a statement necklace."
"age-group:genz,gender:female,occasion:formal,body-size:fit","outfit:Classic white shirt, slim-fit pants,footwear:Versatile block heels,accessories:Professional wristwatch,response:Choose a classic white shirt with slim-fit pants for a timeless office look. Complete the outfit with versatile block heels and a professional wristwatch."
"age-group:millennials,gender:female,occasion:formal,body-size:fit","outfit:Smart casual blazer, well-fitted jeans,footwear:Stylish loafers,accessories:Professional leather belt,response:Achieve a smart casual look with a blazer and well-fitted jeans. Complete the look with stylish loafers and a professional leather belt."
"age-group:millennials,gender:female,occasion:formal,body-size:fit","outfit:Classic formal suit, crisp blouse,footwear:Elegant closed-toe pumps,accessories:Statement necklace, professional tote bag,response:For a formal formal setting, wear a classic formal suit with a crisp blouse. Complete the look with elegant closed-toe pumps, a statement necklace, and a professional tote bag."
"age-group:genz,gender:female,occasion:formal,body-size:fit","outfit:Modern Indian Fusion: Collared kurta with tailored trousers,footwear:Comfortable ethnic flats,accessories:Professional wristwatch, small stud earrings,response:Infuse modern Indian elements with a collared kurta paired with tailored trousers. Complete the look with comfortable ethnic flats, a professional wristwatch, and small stud earrings."
"age-group:genz,gender:female,occasion:formal,body-size:fit","outfit:Formal blazer dress,footwear:Low-heeled mules,accessories:Professional handbag, statement earrings,response:Opt for a formal blazer dress for a sophisticated look. Complete the outfit with low-heeled mules, a professional handbag, and statement earrings."
"age-group:millennials,gender:female,occasion:formal,body-size:fit","outfit:Tailored pantsuit, classic blouse,footwear:Elegant pointed-toe flats,accessories:Professional wristwatch, minimal pendant necklace,response:Choose a tailored pantsuit with a classic blouse for a powerful office look. Complete the outfit with elegant pointed-toe flats, a professional wristwatch, and a minimal pendant necklace."
"age-group:millennials,gender:female,occasion:formal,body-size:fit","outfit:Modern ethnic blend: Collared kurta with formal trousers,footwear:Stylish kitten heels,accessories:Professional watch, small hoop earrings,response:Infuse modern ethnic elements with a collared kurta paired with formal trousers. Complete the look with stylish kitten heels, a professional watch, and small hoop earrings."
"age-group:millennials,gender:male,occasion:casual,body-size:oversized","outfit:Oversized graphic tee, relaxed-fit jeans,footwear:Chunky sneakers,accessories:Beanie hat,response:Embrace the oversized trend with an oversized graphic tee paired with relaxed-fit jeans. Complete the look with chunky sneakers and a beanie hat for a cool and comfortable outfit."
"age-group:millennials,gender:male,occasion:casual,body-size:oversized","outfit:Oversized hoodie, jogger pants,footwear:High-top sneakers,accessories:Oversized watch,response:Stay cozy and stylish with an oversized hoodie and comfortable jogger pants. Complete the look with high-top sneakers and an oversized watch for a laid-back yet trendy outfit."
"age-group:genz,gender:male,occasion:casual,body-size:oversized","outfit:Oversized denim jacket, baggy cargo pants,footwear:Retro dad sneakers,accessories:Baseball cap,response:Get a retro-inspired look with an oversized denim jacket and baggy cargo pants. Complete the outfit with retro dad sneakers and a baseball cap for an effortlessly cool ensemble."
"age-group:genz,gender:male,occasion:casual,body-size:oversized","outfit:Oversized plaid shirt, wide-leg jeans,footwear:Platform boots,accessories:Layered chains,response:Rock the oversized trend with a plaid shirt in an oversized fit and wide-leg jeans. Complete the look with platform boots and layered chains for a bold and edgy appearance."
"age-group:millennials,gender:male,occasion:casual,body-size:oversized","outfit:Oversized crewneck sweatshirt, baggy jogger shorts,footwear:Slide sandals,accessories:Retro-inspired sunglasses,response:Stay comfortable and stylish with an oversized crewneck sweatshirt and baggy jogger shorts. Complete the look with slide sandals and retro-inspired sunglasses for a relaxed and trendy outfit."
"age-group:millennials,gender:male,occasion:casual,body-size:oversized","outfit:Oversized longline t-shirt, loose-fit cargo pants,footwear:Chunky sneakers,accessories:Bucket hat,response:Channel the oversized trend with a longline t-shirt in an oversized fit and loose-fit cargo pants. Complete the look with chunky sneakers and a bucket hat for a street-style inspired outfit."
"age-group:genz,gender:male,occasion:casual,body-size:oversized","outfit:Oversized knit sweater, wide-leg trousers,footwear:Platform sneakers,accessories:Statement beaded necklace,response:Stay cozy and fashionable with an oversized knit sweater and wide-leg trousers. Complete the look with platform sneakers and a statement beaded necklace for a unique and comfortable outfit."
"age-group:genz,gender:male,occasion:casual,body-size:oversized","outfit:Oversized graphic hoodie, oversized jogger pants,footwear:Slip-on sneakers,accessories:Logo beanie hat,response:Embrace the oversized trend with a graphic hoodie and jogger pants in oversized fits. Complete the look with slip-on sneakers and a logo beanie hat for a modern and relaxed outfit."
"age-group:millennials,gender:male,occasion:casual,body-size:oversized","outfit:Oversized button-down shirt, wide-legged jeans,footwear:Retro high-top sneakers,accessories:Vintage-inspired watch,response:Achieve a laid-back oversized look with a button-down shirt in an oversized fit and wide-legged jeans. Complete the outfit with retro high-top sneakers and a vintage-inspired watch."
"age-group:millennials,gender:male,occasion:casual,body-size:oversized","outfit:Oversized hoodie, oversized sweatpants,footwear:Slide sandals,accessories:Bucket hat,response:Get a comfortable and trendy outfit with an oversized hoodie and oversized sweatpants. Complete the look with slide sandals and a bucket hat for a casual and relaxed appearance."
